Word,Count
handle,7
later,7
built_in,7
about,7
eat,7
color:,7
Less,7
built-in,7
goto,7
||,7
We,7
declare,6
pragma,6
{begin:,6
No,6
public,6
enterprise,6
want,6
files,6
require,6
need,6
(e.g,6
JS,6
pattern,6
next,6
event,6
within,6
compiler,6
it's,6
});,6
const,6
can't,6
info,6
DOM,6
JavaScript,6
*/,6
version,6
call,6
select,6
name,6
whitespace,6
left,6
out,6
Ada,6
modes,6
label,6
package,6
For,6
join,6
use,6
markup,6
full,6
2,6
content,6
Java,6
same,6
one,6
hack:,6
into,6
Copyright,6
Julia,6
lisp,6
numeric,6
REPL,6
TODO:,6
в,6
',6
parameter,5
Origin:,5
true,5
detection,5
attribute,5
must,5
graphics,5
post,5
long,5
explicit,5
highlighter,5
group,5
eating,5
form,5
0,5
green,5
highlight.js,5
spaces,5
Clojure,5
self,5
protected,5
drag,5
does,5
finally,5
protocols,5
Based,5
sequence,5
Markdown,5
short,5
\,\,5
map,5
Dan,5
#,5
data,5
original,5
yield,5
don't,5
ARM,5
parse,5
<efimovov@gmail.com>,5
super,5
elements,5
nested,5
ключевые,5
highlighted,5
\},\,5
exit,5
id,5
than,5
generic,5
identifiers,5
(),5
source,5
Global,5
log,5
library,5
assembler,5
how,5
before,5
regex,5
any,5
await,5
help,5
digit,5
\markup,\,5
Using,5
matches,5
Assembly,5
under,5
match,5
some,5
contain,5
parent,4
Bar,4
int,4
properly,4
Excel,4
without,4
Coprocessor,4
bool,4
Form,4
Stan's,4
JQuery,4
VHDL,4
instructions,4
node,4
characters,4
Match,4
named,4
comments,4
>,4
Lasso,4
remove,4
(event1,4
v7,4
Peter,4
enum,4
get,4
most,4
hljs,4
everything,4
Function,4
***,4
Alexander,4
Python,4
слова,4
Highlighting,4
templates,4
Number,4
&,4
describe,4
Animate,4
unless,4
&&,4
eval,4
follow,4
GNU,4
Evgeny,4
context,4
regs,4
(i.e,4
parser,4
observer,4
leading,4
rules,4
undef,4
instanceof,4
strong,4
another,4
let,4
definitions,4
cases,4
done,4
LiveScript,4
\/',\,4
show,4
white,4
kill,4
elif,4
values,4
two,4
mixin,4
AspectJ,4
3,4
description,4
replace,4
},4
def,4
until,4
css,4
It,4
release,4
literal:,4
hexadecimal,4
write,4
Licensed,4
delimited,4
warning,4
add,4
strict,4
I,4
keep,4
End,4
Common,4
endif,4
typeof,4
foreach,4
Taken,4
off,4
Color,4
applications,4
alias,4
table,4
operator,4
null,4
scripts,4
transition,4
through,4
Scripting,4
every,4
Stepanischev,4
background,4
prevents,4
looks,4
volatile,4
max,4
Script,4
point,4
output,4
parens,4
snippets,4
\language,\,4
IRPF90,4
ToDo:,4
document,4
event2,4
recursive,3
Alex,3
CoffeeScript,3
emails,3
уникальные,3
G-code,3
значений,3
Matcher,3
Oracle,3
Andrew,3
instance,3
automation,3
matched,3
commands,3
web,3
escape,3
advanced,3
quoted,3
cos,3
1,3
elsif,3
0b..,3
отсутствующие,3
sql,3
\"\params"\\,3
identifier,3
(broken,3
key,3
Version:,3
wait,3
property,3
here,3
built-ins,3
exp,3
extern,3
command,3
\enterprise,\,3
Utilities,3
needed,3
10,3
Scilab,3
because,3
check,3
Stone),3
Guan,3
exec,3
Polovnyov,3
boolean,3
supports,3
DSL,3
\препроцессора,\,3
general-purpose,3
Calculate,3
features,3
scroll,3
async,3
Nicolas,3
Foo,3
body,3
Shell,3
\'number',\,3
Cook,3
(Blue,3
exponent,3
свойства,3
sqrt,3
each,3
treating,3
Regular,3
six,3
variant,3
least,3
ref,3
password,3
meta-keyword,3
so,3
STEP,3
redo,3
page,3
time,3
\decimal,\,3
A,3
image,3
rename,3
override,3
Vasily,3
Shuen-Huei,3
images,3
Accepts,3
Protocol,3
keys,3
floating-point,3
reset,3
status,3
Michael,3
statements,3
sign,3
begin,3
doctags,3
Following,3
preview,3
message,3
@'s,3
Guillaume,3
21,3
starting,3
array,3
(or,3
server,3
lines,3
ascii,3
unsigned,3
id:,3
anonymous,3
including,3
TypeScript,3
To,3
(c),3
Stan,3
stop,3
called,3
taken,3
read,3
\xml.js,\,3
unicode,3
there,3
lexemes,3
allows,3
Erlang,3
far,3
emphasis,3
MIPS,3
nameless,3
\true,\,3
tries,3
YAML,3
aliases,3
Macro,3
Linden,3
lock,3
Foundation,3
languages,3
In,3
stack,3
different,3
now,3
<drake.guan@gmail.com>,3
hash,3
constructor,3
truncate,3
relevance:,3
interface,3
indented,3
max:,3
doesn't,3
found,3
sin,3
empty,3
sizeof,3
VBScript,3
CSS,3
define,3
className:,3
Find,3
makes,3
Ruby,3
host,3
begin:,3
consistent,3
link,3
dynamic,3
объектов,3
final,3
supported,3
either,3
Vladimir,3
project,3
virtual,3
глобального,3
Victor,3
grammar,3
\"\value"\\,3
}),3
ends,3
Allen,3
based,3
markdown,3
transcompiles,3
sections,3
expression,3
already,3
except,3
contained,3
readonly,3
struct,3
printf,3
union,3
state,3
developed,3
octal,3
still,3
below,3
pair,3
over,3
..,3
know,3
reverse,3
\"\contains"\\,3
AMD,3
main,3
browser,3
general,3
create,3
PROCEDURE,3
translation,3
load,3
On,3
#006666,3
встроенные,3
maybe,3
ruby.js,3
\"\\,3
clone,3
coloring,3
mouse,3
been,3
display,3
uppercase,3
always,3
slash,3
matching,3
Some,3
swallow,3
xor,3
meta,3
byte,3
XML,3
normal,3
properties:,3
XQuery,3
Verilog,3
abs,3
Leonov,3
calls,3
min:,3
pass,3
sort,3
handles,2
open-source,2
segments,2
optional,2
logging,2
parsing,2
Konstantin,2
Set,2
RouterOS,2
addresses,2
(ISO,2
sprintf,2
$('.show-check-div').click(function(){,2
record,2
Rules,2
nesting,2
links,2
consecutive,2
restore,2
polymorphic,2
commit,2
present,2
`$.something`,2
containing,2
println(name),2
license,2
Doesn't,2
recognize,2
sessions,2
Change:,2
Tagger,2
lists,2
\|/\\*|$)',\,2
Brian,2
Other,2
инструкциях,2
configuration,2
Modifiers,2
additional,2
PureBASIC,2
\type),\,2
critical,2
Inform,2
MoonScript,2
fragment,2
unique,2
interpolation,2
Cap’n,2
combines,2
asterisk,2
построитель,2
change,2
Getter,2
purge,2
enable,2
longer,2
mnemonics,2
bit,2
specific,2
<input,2
colored,2
аннотациях,2
index,2
script,2
KEYWORDS,2
less,2
umask,2
TP,2
\id="\uploadShowProgress"\\,2
vim:,2
fragments,2
go,2
language),2
apply,2
means,2
digital,2
labels:,2
backup,2
extended,2
mojolicious,2
binary,2
scrollTop(),2
die,2
Date:,2
запроса,2
\<imbolk@gmail.com>,\,2
C++,2
Stephan,2
click,2
$,2
JSX,2
AutoIt,2
\word,\,2
Nikolay,2
\identifiers,\,2
cpp.js,2
program,2
pipe,2
SQF,2
column,2
\"\Bridge"\\,2
original;,2
typed,2
E4X,2
v1.12.1,2
Double,2
System,2
Stefan,2
savepoint,2
width,2
shift,2
shrink),2
An,2
selectors,2
dimension,2
directory,2
references,2
raise,2
данных,2
10px,2
log10,2
Matt,2
<gojpeg@yandex.ru>,2
mark,2
rand,2
typing,2
standard,2
John,2
Either,2
Jacob,2
C/AL,2
32-bit,2
<qewerty@gmail.com>,2
NASM,2
Kalnitsky,2
CommonJS,2
'function',2
according,2
ifdef,2
Awk,2
0)[1],2
codepoint,2
shutdown,2
delimiter,2
(based,2
=>,2
NEON,2
tokens,2
unlock,2
really,2
make,2
https://bronevichok.ru/,2
HTTP,2
HTMLBars,2
filter,2
OpenSCAD,2
modeling,2
Dockerfile,2
Erik,2
с,2
modification,2
exception,2
manual,2
mixed-signal,2
stream,2
skip,2
\'$',\,2
'',2
ambiguous,2
Monkey,2
Functions,2
\www.w3.org/1999/xhtml',\,2
unsafe,2
PHP,2
libs:,2
multiset,2
exists,2
duplicate,2
AVX-512F,2
Benjamin,2
color,2
Isolate,2
small,2
deallocate,2
echo,2
oct,2
Stata,2
Decimal,2
IP,2
regexps,2
(an,2
included,2
well,2
<imbolk@gmail.com>,2
something,2
'a'b,2
директивах,2
IDENT,2
<scemama@irsamc.ups-tlse.fr>,2
CMake,2
ref:,2
command:,2
real,2
assembly,2
1C:Enterprise,2
detected,2
suspend,2
'start'),2
'start',2
Raphaël,2
MutationObserver,2
debugger,2
both,2
'keyword,2
Dart,2
tab,2
ifndef,2
TSUYUSATO,2
header,2
bare,2
range,2
IE11+,2
OCaml,2
plugin,2
Childress,2
constructors,2
$('.box-show').toggle(200);,2
globally,2
undefined,2
Scemama,2
\'^/{4,}$',\,2
declarations,2
'div');,2
mnemonic,2
x86,2
centred,2
limit,2
flush,2
David,2
times,2
dots,2
unset,2
наборы,2
hardware,2
\%?[FB]?[AT]?\d{1,2}\w+\,2
kw,2
score,2
документ,2
tan,2
Part,2
defining,2
Group,2
\+\d+,\d+\,2
TypeVar,2
stat,2
Applies,2
preprocs,2
LLVM,2
rule,2
atan,2
PureBasic,2
listing,2
Modes,2
deprecated,2
Google,2
1.0a,2
loop,2
way,2
(eg,2
Adam,2
missing,2
forward,2
expand,2
entire,2
sure,2
Standard,2
model,2
Mojolicious,2
xml,2
<%,2
split,2
Special,2
fork,2
generated,2
Bronnikov,2
F#,2
valid,2
monkey,2
\HTML,\,2
update,2
<vast@whiteants.net>,2
workaround,2
checksum,2
superset,2
systems,2
calling,2
trailing,2
Sam,2
bug,2
sleep,2
v8),2
expect,2
Evdokimenko,2
scrollLeft(),2
open,2
Nikita,2
repair,2
@,2
localtime,2
compared,2
R,2
Jason,2
multi-line,2
checked,2
external,2
ending,2
none,2
console,2
bin,2
\file"\\,2
base,2
Kitsune,2
6,2
automatic,2
optimize,2
Type,2
lot,2
dsconfig,2
str,2
compatibility,2
Rule,2
assert,2
floating,2
prepare,2
preceding,2
signed,2
Twig,2
everywhere,2
\"\illegal"\\,2
REPL-like,2
statement,2
clojure.js,2
etc,2
объекты,2
continuations,2
letters,2
Ends,2
jboss-cli,2
shared,2
those,2
McKibben,2
Apache,2
Vala,2
First,2
partial,2
Nix,2
html,2
coffeescript.js,2
handler,2
\type="\submit"\\,2
Proto,2
build,2
suffix,2
much,2
order,2
__FUNCTION__,2
failed,2
listen,2
notice,2
colors,2
\Base.REPLCompletions.completions("\"\,\,2
http://google.com/profiles/dan.j.allen,2
asin,2
Strings,2
drop,2
Joe,2
bind,2
javascript,2
State,2
test,2
Bold,2
Access,2
Object,2
function/procedure,2
Ada2012,2
floor,2
`$(something)`,2
highlighted;,2
commands:,2
delegate,2
<alsoelp@gmail.com>,2
window,2
count,2
otherwise,2
interpreted,2
seem,2
mutable,2
Name(...)',2
this.map(function(){var,2
simple,2
send,2
'.',2
Event,2
typename,2
testcase,2
<adam.joseph.cook@gmail.com>,2
annotation,2
Anthony,2
move,2
<dan.j.allen@gmail.com>,2
'stop',2
visible,2
Thrift,2
'stop'),2
ended,2
attr,2
Prolog,2
addMember(member);,2
composed,2
handling,2
implementation,2
formula,2
atan2,2
performance,2
uninstall,2
--,2
Lua,2
size,2
(Embedded,2
grant,2
offset,2
reaction,2
bash.js,2
length,2
permanent,2
accept,2
Groovy,2
quotes,2
Backus-Naur,2
JSON,2
safely,2
warn,2
yes,2
chdir,2
AutoHotkey,2
document.createElement('i');,2
available,2
Gherkin,2
%>,2
Evans,2
Matlab,2
row,2
\0x...,\,2
markup),2
контекста,2
GAUSS,2
acos,2
percentage,2
SML,2
Leaf,2
Multiple,2
lookahead,2
ord,2
interval,2
was,2
License,2
control,2
explain,2
методы,2
built,2
electronic,2
^globalName,2
these,2
<alex@nullscope.net>,2
Oxygene,2
LiveCode,2
divisions,2
auto,2
strcmp,2
information,2
Fortran,2
yet,2
Martin,2
cache,2
infix),2
типы,2
revoke,2
install,2
\SQF,\,2
Drew,2
merge,2
substr,2
document.createElement('button');,2
alter,2
Pony,2
Elixir,2
wysiwyg,2
very,2
Handlebars,2
due,2
identified,2
purpose,2
native,2
constructions,2
simply,2
internal,2
user-defined,2
Joseph,2
stuff,2
listeners,2
\*,\,2
fixed,2
contributors,2
\this,\,2
user's,2
{String},2
Bash,2
Literals,2
typedef,2
chr,2
action,2
************************,2
query,2
function(member){,2
s,2
connect,2
(int),2
analyze,2
Daniel,2
per,2
builtin,2
caller,2
Registers,2
Igor,2
Jan,2
Basic,2
abstract,2
<jacobc@gmail.com>,2
Polyfills,2
\компиляции,\,2
Top-level,2
section,2
\value="\upload\,2
rest,2
there's,2
pow,2
Zhou,2
methods,2
having,2
admonition,2
Lucas,2
rollback,2
asm,2
Hy,2
They,2
execute,2
для,2
See,2
Generic,2
\class="\btn\,2
position,2
changed,2
Panzarella,2
mask,2
design,2
\(v7,\,2
high,2
properties,2
Arduino®,2
Component,2
insert,2
pos,2
Coffee,2
\<efimovov@gmail.com>,\,2
Mercury,2
Anton,2
\override_obj,\,2
ceil,2
classes,2
\btn-info"\\,2
Smali,2
equal,2
<igor@kalnitsky.org>,2
allowed,2
Expression,2
crmsh,2
IPv4,2
RenderMan,2
around,2
100ms,2
Use,2
Stylus,2
documentation,2
style,2
<sergeyb@bronevichok.ru>,2
\keywords,\,2
right,2
namespace,2
typical,2
ignore,2
Returns,2
generator,2
required,2
'$'),2
.,2
modifiers,2
horizontal,2
{},2
headers,2
squish,2
<make.just.on@gmail.com>,2
eval(Symbol(name)),2
pushln,1
redirect,1
console.log(count),1
anyschema,1
\r.type=e.scriptType||"\text/javascript"\,r.charset="\utf-8"\,r.async=!0,r},req.load=function(e,t,i){var\,1
\"\$get"\,\,1
(Cucumber,1
Schumacher,1
TRAY_ID,1
acce,1
three,1
uint,1
superset),1
Includes:,1
OSType,1
standalone,1
\effect.js,\,1
as-value,1
console.log(xml.responseText);,1
\"\$locate"\,\,1
\checksum"\}},l,e.CNM,{bK:"\class\,1
post-escaped,1
inst\method,1
roboconf,1
THANK,1
\lines,\,1
letter,1
http://livescript.net/,1
\j=h(b,c,d);return"\string"\!=typeof\,1
compdescribe,1
passed,1
Zaven,1
Test,1
Attaches,1
buffer,1
AutoItVersion,1
\"\$zhex"\,\,1
\this},abort:function(a){var\,1
n=function(){var,1
<http://johannburkard.de>,1
разыменование),1
Pieter,1
military,1
\finally"\,c:[e.HCM,e.C("\//"\,"\$"\,{c:[i]}),e.C("\/\\*"\,"\\\*/"\,{c:[{cN:"\doctag"\,b:"\@[A-Za-z]+"\}]}),e.C("\__halt_compiler.+?;"\,!1,{eW:!0,k:"\__halt_compiler"\,l:e.UIR}),{cN:"\string"\,b:/<<<['"\]?\w+['"\]?$/,e:/^\w+;?$/,c:[e.BE,{cN:"\subst"\,v:[{b:/\$\w+/},{b:/\{\$/,e:/\}/}]}]},i,{cN:"\keyword"\,b:/\$this\b/},c,{b:/(::|->)+[a-zA-Z_\x7f-\xff][a-zA-Z0-9_\x7f-\xff]*/},{cN:"\function"\,bK:"\function"\,e:/[;{]/,eE:!0,i:"\\\$|\\[|%"\,c:[e.UTM,{cN:"\params"\,b:"\\\("\,e:"\\\)"\,c:["\self"\,c,e.CBCM,t,a]}]},{cN:"\class"\,bK:"\class\,1
{4}|,1
*-\\*-,1
substitutable,1
OpenBSD,1
Core,1
Couchbase,1
IBAction,1
dynamic_cast|10,1
комментарии,1
Zurczak,1
document.createElement('div');,1
atomic_int,1
\"\$now"\,\,1
atomic_short,1
\println("\false"\)\,1
ActionScript,1
translate,1
r,1
i18n,1
\$\t,\,1
MusicBrainz,1
grouping_id,1
sched,1
usage,1
points[3],1
compress,1
\in{success:1,error:1,complete:1})w[e](l[e]);if(j=Tb(Ob,l,c,w)){if(w.readyState=1,i&&o.trigger("\ajaxSend"\,[w,l]),2===u)return\,1
Setup,1
treatment,1
\d,e,f,g,h=a.contents,i=a.dataTypes;while("\*"\===i[0])i.shift(),void\,1
'//',1
autodetection,1
varrawc,1
http://rukeba.com/,1
returnBegin:,1
ECMAScript,1
There,1
LF,1
\"\$zname"\,\,1
height/width,1
\0}),"\script"\):void\,1
\"\$ztime"\,\,1
Dynamics,1
Update,1
rehash,1
NS_SWIFT_NAME,1
SQL,1
ES6,1
resource,1
Holder,1
products,1
Mizar,1
Beck,1
\y(-1,"\No\,1
enforced,1
2017,1
transactional,1
<robert.dodier@gmail.com>,1
post_transaction,1
\(~,\,1
care,1
box,1
percent,1
\w;i=n.event&&l.global,i&&0===n.active++&&n.event.trigger("\ajaxStart"\),l.type=l.type.toUpperCase(),l.hasContent=!Kb.test(l.type),f=l.url,l.hasContent||(l.data&&(f=l.url+=(Eb.test(f)?"\&"\:"\?"\)+l.data,delete\,1
Parameter/set/variable,1
\charset=UTF-8"\,accepts:{"\*"\:Pb,text:"\text/plain"\,html:"\text/html"\,xml:"\application/xml,\,1
nonlocal|10,1
Device,1
even,1
validate_password_strength,1
consider,1
URLs,1
variable:,1
scalar,1
<sam.pikesley@theodi.org>,1
http://fulc.ru/,1
is_used_lock,1
prolog,1
absent),1
\www.w3.org/1999/xhtml"\,"\html:script"\):document.createElement("\script"\);return\,1
tablespace,1
VALUE’s,1
mixins,1
<contact@sierrasoftworks.com>,1
ispunct,1
noneditionable,1
Instance,1
\<megalivoithos@gmail.com>,\,1
datediff,1
__strong,1
ComSpec,1
editor,1
pack,1
Xb(a){return,1
arbitrary,1
security,1
del,1
\"\$halt"\,\,1
such,1
Supports,1
standby,1
shell,1
<benjamin.auder@gmail.com>,1
<dmmdrs@mail.ru>,1
opportunity,1
crypt,1
DESCTEXT,1
0'\s,1
WeakSet,1
\kc=n.fn.load;n.fn.load=function(a,b,c){if("\string"\!=typeof\,1
readlink,1
week,1
(.*?),1
.bat,1
\this.on(b,a)}}),n.expr.filters.animated=function(a){return\,1
Nullsoft,1
organization,1
non-comments,1
conflict,1
@@,1
setpgrp,1
look,1
\data.js,\,1
Table,1
clob_base,1
8.6,1
sum,1
cycle,1
-3,1
OpenGL,1
Escape,1
Solovyov,1
noprom,1
Kenton,1
sessions_per_user,1
Karamzin,1
disabled,1
light-brown,1
b=n.isFunction(a);return,1
default.txt,1
':',1
result_cache,1
target,1
toupper,1
\"\$key"\,\,1
div,1
#9A9900,1
waitpid,1
Keba,1
(indicators,1
search,1
leaves,1
\effects/effect-clip.js,\,1
upsert,1
password_reuse_max,1
\t={cN:"\variable"\,v:[{b:/\$[\w\d#@][\w\d_]*/},{b:/\$\{(.*?)}/}]},s={cN:"\string"\,b:/"\/,e:/"\/,c:[e.BE,t,{cN:"\variable"\,b:/\$\(/,e:/\)/,c:[e.BE]}]},a={cN:"\string"\,b:/'/,e:/'/};return{aliases:["\sh"\,"\zsh"\],l:/\b-?[a-z\._]+\b/,k:{keyword:"\if\,1
120,1
<antono.vasiljev@gmail.com>,1
unordered_multimap,1
.5em,1
EmberJS,1
aviation),1
<bquistorff@gmail.com>,1
subtime,1
Emch,1
\else"\,r:0},{cN:"\function"\,b:"\("\+t+"\\\s+)+"\+e.UIR+"\\\s*\\("\,rB:!0,e:/[{;=]/,eE:!0,k:r,c:[{b:e.UIR+"\\\s*\\("\,rB:!0,r:0,c:[e.UTM]},{cN:"\params"\,b:/\(/,e:/\)/,k:r,r:0,c:[e.ASM,e.QSM,e.CNM,e.CBCM]},e.CLCM,e.CBCM]},c,{cN:"\meta"\,b:"\@[A-Za-z]+"\}]}});hljs.registerLanguage("\python"\,function(e){var\,1
endgrent,1
serial,1
esac,1
instances,1
<ozler.hakan@gmail.com>,1
boost,1
ident_seed,1
<dennis.titze@gmail.com>,1
soname,1
closedirioctl,1
bottom,1
setnetent,1
iRight;,1
ifneq,1
useful,1
\GeSHi,\,1
\<martin.braun@ettus.com>,\,1
GPL,1
vah,1
overlay-new-post-group,1
handled,1
(a,1
microsecond,1
endprotoent,1
(содержат,1
библиотечные,1
\"\$fnumber"\,\,1
ternary,1
All,1
listagg,1
Prism.languages.reason.function;,1
executing,1
yaml.js,1
\keycode.js,\,1
tell,1
cells,1
\/dev/poll"\},r:0,i:"\=>"\,c:[e.HCM,{cN:"\string"\,c:[e.BE,r],v:[{b:/"\/,e:/"\/},{b:/'/,e:/'/}]},{b:"\([a-z]+):/"\,e:"\\\s"\,eW:!0,eE:!0,c:[r]},{cN:"\regexp"\,c:[e.BE,r],v:[{b:"\\\s\\^"\,e:"\\\s|{|;"\,rE:!0},{b:"\~\\*?\\s+"\,e:"\\\s|{|;"\,rE:!0},{b:"\\\*(\\.[a-z\\-]+)+"\},{b:"\([a-z\\-]+\\.)+\\*"\}]},{cN:"\number"\,b:"\\\b\\d{1,3}\\.\\d{1,3}\\.\\d{1,3}\\.\\d{1,3}(:\\d{1,5})?\\b"\},{cN:"\number"\,b:"\\\b\\d+[kKmMgGdshdwy]*\\b"\,r:0},r]};return{aliases:["\nginxconf"\],c:[e.HCM,{b:e.UIR+"\\\s+{"\,rB:!0,e:"\{"\,c:[{cN:"\section"\,b:e.UIR}],r:0},{b:e.UIR+"\\\s"\,e:"\;|{"\,rB:!0,c:[{cN:"\attribute"\,b:e.UIR,starts:b}],r:0}],i:"\[^\\s\\}]"\}});hljs.registerLanguage("\sql"\,function(e){var\,1
platform,1
:(,1
revIgniter,1
классифицированные,1
xmlcolattval,1
dirs,1
Send,1
NS_HANDLER,1
wildcard,1
zeros,1
5,1
AppleScript,1
depth,1
pusher,1
http://github.com/idleberg,1
\"\,eB:!0,eE:!0},{b:t},{cN:"\keyword"\,b:"\[A-Z]+"\}]},{cN:"\attribute"\,b:"\^\\w"\,e:"\:\,1
parseInt,1
Baz;,1
\"\+Pb+"\;\,1
trap,1
interactive,1
паттерн,1
\e&&null!=e?b:"\"\)+"\]"\,e,c,d)});else\,1
functions:,1
safety-critical,1
AutoItExe,1
sql_calc_found_rows,1
Facet,1
operators,1
\0),c=c||{};var\,1
facts,1
js,1
\"\$translate"\,\,1
diagnostics,1
<MC.prince.0203@gmail.com>,1
doesn’t,1
\"\$zbitnot"\,\,1
Every,1
self.rotate(90);,1
verb:,1
loops,1
\"\$text"\,\,1
basicfile,1
\wrap,\,1
static_assert,1
\else"\,r:0},{cN:"\function"\,b:"\("\+b+"\\\s+)+"\+e.IR+"\\\s*\\("\,rB:!0,e:/[{;=]/,eE:!0,k:i,c:[{b:e.IR+"\\\s*\\("\,rB:!0,c:[e.TM],r:0},{cN:"\params"\,b:/\(/,e:/\)/,eB:!0,eE:!0,k:i,r:0,c:[l,e.CNM,e.CBCM]},e.CLCM,e.CBCM]}]}});hljs.registerLanguage("\shell"\,function(s){return{aliases:["\console"\],c:[{cN:"\meta"\,b:"\^\\s{0,3}[\\w\\d\\[\\]()@-]*[>%$#]"\,starts:{e:"\$"\,sL:"\bash"\}}]}});hljs.registerLanguage("\objectivec"\,function(e){var\,1
shmctl,1
\a,b,c={top:0,left:0},d=this[0];return"\fixed"\===n.css(d,"\position"\)?b=d.getBoundingClientRect():(a=this.offsetParent(),b=this.offset(),n.nodeName(a[0],"\html"\)||(c=a.offset()),c.top+=n.css(a[0],"\borderTopWidth"\,!0),c.left+=n.css(a[0],"\borderLeftWidth"\,!0)),{top:b.top-c.top-n.css(d,"\marginTop"\,!0),left:b.left-c.left-n.css(d,"\marginLeft"\,!0)}}},offsetParent:function(){return\,1
indexing,1
rindex,1
ftp,1
si_texture,1
Dodier,1
CAD,1
as..,1
\"\$qlength"\,\,1
declary,1
7.4.2,1
false-positive,1
referencing,1
(Persian,1
alternate,1
nonnull,1
\"\$zbitor"\,\,1
двоичными,1
cascaded,1
vfprintf,1
prefer,1
makedate,1
border,1
<stefan.bechert@gmx.net>,1
@try,1
like4,1
response,1
Zeno,1
\e={},f=a===Ob;function\,1
RequireJS,1
timeout,1
release_lock,1
\interface"\,e:"\{"\,eE:!0,i:/[:\(\$"\]/,c:[{bK:"\extends\,1
colum,1
noorder,1
SubUnit,1
Ermakov,1
<mehdi@dogguy.org>,1
sinclude,1
Picard,1
*the,1
табличный,1
@dynamic,1
rolling,1
console.log(finalFiles);,1
\theory,\,1
\commas,\,1
norely,1
(less,1
shared_ptr,1
identity,1
aren’t,1
minextents,1
\"\$zbitset"\,\,1
checksum_agg,1
\l.headers)w.setRequestHeader(e,l.headers[e]);if(l.beforeSend&&(l.beforeSend.call(m,w,l)===!1||2===u))return\,1
\"\$mvraise"\,\,1
gradle,1
e&&(e=[e]);var,1
fiction,1
(global),1
Normal,1
compvalues,1
_Imaginary,1
sub.example.*,1
rescue,1
\0,!0)}}}});function\,1
],1
SW_SHOWMAXIMIZED,1
SIMD,1
AsciiDoc,1
trait,1
workers,1
et:ts=4:sw=4:sts=4,1
things,1
\"\$classmethod"\,\,1
Kershaw,1
\"\$zbitstr"\,\,1
<chinbillybilbo@gmail.com>,1
<devolonter@gmail.com>,1
DEFINITIONS,1
\,Mb=/^([\w.+-]+:)(?:\/\/(?:[^\/?#]*@|)([^\/?#:]*)(?::(\d+)|)|)/,Nb={},Ob={},Pb="\*/"\.concat("\*"\),Qb=Cb.href,Rb=Mb.exec(Qb.toLowerCase())||[];function\,1
priority,1
scary,1
lt,1
\"\$mvv"\,\,1
(one,1
\/$/,\,1
Provides,1
a-b,1
So,1
\'\\s*=>\\s*'},\,1
Statements,1
sha,1
stringstream,1
\"\$match"\,\,1
utime,1
\inherit(parent,\,1
\b&&(c=b,b=!1),b=b||(l.createHTMLDocument?d.implementation.createHTMLDocument("\"\):d);var\,1
anydata,1
Logs,1
\FILES,\,1
\r.c=o,s.c=o,{aliases:["\pl"\,"\pm"\],l:/[\w\.]+/,k:t,c:o}});hljs.registerLanguage("\nginx"\,function(e){var\,1
Flash,1
Comments,1
Nebuleon,1
greatest,1
stats_binomial_test,1
<domen@dev.si>,1
